Team,Closer,Role,NSV_projection,Notes
CLE,Emmanuel Clase,locked,34,"Elite, no competition"
HOU,Josh Hader,locked,30,Signed long-term
SDP,Mason Miller,locked,28,"Elite stuff, clear role"
NYM,Devin Williams,locked,32,Elite closer
LAD,Edwin Diaz,locked,31,Signed as elite closer
BOS,Aroldis Chapman,likely,22,"Veteran, may share"
NYY,David Bednar,likely,24,Traded for as closer
ATL,Raisel Iglesias,locked,30,Consistent elite closer
SEA,Andres Munoz,locked,27,Elite stuff
MIL,Trevor Megill,likely,21,Inconsistent but role is his
PHI,Jhoan Duran,locked,29,Elite closer
TBR,Pete Fairbanks,likely,23,Good when healthy
TOR,Jeff Hoffman,likely,20,"New signing, likely role"
TEX,Jose Leclerc,likely,18,Veteran closer
BAL,Ryan Helsley,locked,26,Elite when healthy
MIN,Jhoan Duran,locked,28,Clear closer
ARI,Paul Sewald,likely,24,Veteran closer
CHC,Hector Neris,likely,19,"Veteran, may share"
CIN,Emilio Pagan,uncertain,16,No clear closer
COL,Victor Vodnik,likely,15,"Young, unproven"
DET,Will Vest,uncertain,14,No clear closer
KCR,Carlos Estevez,uncertain,16,Competition from Matt Moore
LAA,Carlos Estevez,uncertain,14,Competition expected
MIA,Jesus Luzardo,uncertain,0,"SP, no clear closer"
OAK,Mason Miller,locked,25,If not traded
PIT,David Bednar,likely,22,"Veteran, may be traded"
SFG,Camilo Doval,likely,24,Good when control is there
STL,Ryan Helsley,locked,28,Elite closer
WSH,Kyle Finnegan,likely,20,Strong 2024 but no extension
CHW,John Brebbia,uncertain,12,Committee likely
