priority,category,impact_score,issue_type,player_name,player_id,team,pa,expected_value,actual_value,description

P1,B,7.0,empty_projection_active_player,545361,545361,,55,"{category: z_score, ...}",{},Active player (PA=55) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,695578,695578,,57,"{category: z_score, ...}",{},Active player (PA=57) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,701398,701398,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,669364,669364,,54,"{category: z_score, ...}",{},Active player (PA=54) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,608070,608070,,54,"{category: z_score, ...}",{},Active player (PA=54) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,671056,671056,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,686469,686469,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,592450,592450,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,663586,663586,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,691406,691406,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,682829,682829,,53,"{category: z_score, ...}",{},Active player (PA=53) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,683002,683002,,59,"{category: z_score, ...}",{},Active player (PA=59) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,677951,677951,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,677594,677594,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,686948,686948,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,701762,701762,,59,"{category: z_score, ...}",{},Active player (PA=59) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,672580,672580,,53,"{category: z_score, ...}",{},Active player (PA=53) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,805300,805300,,55,"{category: z_score, ...}",{},Active player (PA=55) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,670770,670770,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,680757,680757,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,607043,607043,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,670541,670541,,55,"{category: z_score, ...}",{},Active player (PA=55) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,621566,621566,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,621493,621493,,58,"{category: z_score, ...}",{},Active player (PA=58) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,691016,691016,,58,"{category: z_score, ...}",{},Active player (PA=58) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,665833,665833,,52,"{category: z_score, ...}",{},Active player (PA=52) has empty cat_scores - breaks waiver scoring

P1,B,7.0,empty_projection_active_player,802139,802139,,51,"{category: z_score, ...}",{},Active player (PA=51) has empty cat_scores - breaks waiver scoring

